ClientName,OwnerRepo,GitHubOwnerRepo,LibraryOld,LibraryNew,CommitSha,ClientMethod,ExternalCall
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,<com.cosyan.db.io.MetaSerializer: org.json.JSONObject toJSON(com.cosyan.db.meta.MaterializedTable)>,"<org.json.JSONObject: org.json.JSONObject put(java.lang.String,java.util.Collection)>"
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,<com.cosyan.db.io.MetaSerializer: org.json.JSONObject toJSON(com.cosyan.db.meta.MaterializedTable)>,"<org.json.JSONObject: org.json.JSONObject put(java.lang.String,java.util.Collection)>"
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRules(com.cosyan.db.meta.View$TopLevelView,org.json.JSONObject)>",<org.json.JSONObject: org.json.JSONArray getJSONArray(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRules(com.cosyan.db.meta.View$TopLevelView,org.json.JSONObject)>",<org.json.JSONArray: org.json.JSONObject getJSONObject(int)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRules(com.cosyan.db.meta.View$TopLevelView,org.json.JSONObject)>",<org.json.JSONObject: java.lang.String getString(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRules(com.cosyan.db.meta.View$TopLevelView,org.json.JSONObject)>",<org.json.JSONObject: java.lang.String getString(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRules(com.cosyan.db.meta.View$TopLevelView,org.json.JSONObject)>",<org.json.JSONObject: boolean getBoolean(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRules(com.cosyan.db.meta.MaterializedTable,org.json.JSONObject)>",<org.json.JSONObject: org.json.JSONArray getJSONArray(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRules(com.cosyan.db.meta.MaterializedTable,org.json.JSONObject)>",<org.json.JSONArray: org.json.JSONObject getJSONObject(int)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRules(com.cosyan.db.meta.MaterializedTable,org.json.JSONObject)>",<org.json.JSONObject: java.lang.String getString(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRules(com.cosyan.db.meta.MaterializedTable,org.json.JSONObject)>",<org.json.JSONObject: java.lang.String getString(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRules(com.cosyan.db.meta.MaterializedTable,org.json.JSONObject)>",<org.json.JSONObject: boolean getBoolean(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: boolean lambda$table$5(org.json.JSONObject,com.cosyan.db.model.BasicColumn)>",<org.json.JSONObject: java.lang.String getString(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void collectRefs(com.cosyan.db.meta.MaterializedTable,org.json.JSONObject,java.util.TreeMap)>",<org.json.JSONObject: org.json.JSONArray getJSONArray(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void collectRefs(com.cosyan.db.meta.MaterializedTable,org.json.JSONObject,java.util.TreeMap)>",<org.json.JSONArray: org.json.JSONObject getJSONObject(int)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void collectRefs(com.cosyan.db.meta.MaterializedTable,org.json.JSONObject,java.util.TreeMap)>",<org.json.JSONObject: int getInt(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRef(com.cosyan.db.meta.MaterializedTable,org.json.JSONObject)>",<org.json.JSONObject: java.lang.String getString(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRef(com.cosyan.db.meta.MaterializedTable,org.json.JSONObject)>",<org.json.JSONObject: java.lang.String getString(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: void loadRef(com.cosyan.db.meta.MaterializedTable,org.json.JSONObject)>",<org.json.JSONObject: int getInt(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: java.util.Map loadTables(com.cosyan.db.conf.Config,java.util.List)>",<org.json.JSONObject: java.lang.String getString(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.db.io.MetaSerializer: com.cosyan.db.meta.View$TopLevelView view(com.cosyan.db.conf.Config,java.lang.String,org.json.JSONObject,com.cosyan.db.meta.TableProvider)>",<org.json.JSONObject: java.lang.String getString(java.lang.String)>
